ksiazka,book
telefon,phone
programowanie,programming
wyklad,lecture
klasa,class
cwiczyc,exercise
zapisac,save
przyjaciel,friend
pies,dog
kawa,coffee
herbata,tea
Polska,Poland
zielony,green
system,system
radosny,cheerful
olowek,pencil
dlugopis,pen
torba,bag
bagaz,luggage
notatki,notes
kubek,mug
smutny,sad
komputer,computer
twarz,face
sluchac,listen
mowic,speak
dostep,access
przegladarka,browser 
blad,bug
gra,game 
konfiguracja,configuration
kursor,cursor 
przetwarzanie,processing
transmisja,transfer
szyfrowac,encrypt
dane,data
plik,file
drukarka,printer
wejscie,entrance
interfejs,interface
klawiatura,keyboard
ladowac,load
pamiec,memory
mikroprocesor,microprocessor
laptop,notebook
